,ticker,date,count,length,PctOld,PctRecombination,ExtentOld,ExtentRecombination,AbnPctOld,AbnPctRecombination,AbnRet,|AbnRet|,AbnVol,Stories,AbnStories,Terms,MCap,BM,AbnRetPrev5,AbnVolPrev5,Illiq
161,DD,20150513,1,429.0,1.0,0.0,0.79,0.12,0.24865884375971714,-0.10121072884411404,-0.07133571154279397,0.07133571154279397,-0.07955188635729392,1,0.0,429.0,24.87034371839742,7.300521161762662e-07,0.03033617329604754,-0.0005390598625123171,2.188875744008063e-05
162,DD,20150728,1,465.0,0.0,0.0,0.22,0.010000000000000007,-0.3222865146386069,-0.2077951011344177,-0.008546423794562014,0.008546423794562014,-0.02176008845621257,1,-0.01818181818181818,465.0,24.60114348980944,9.955392354907575e-07,-0.025297402585640415,-0.017107797761949085,3.5867695006944784e-05
163,DE,20150522,1,478.0,1.0,1.0,0.89,0.46,0.3473866761634036,0.24339797172013355,0.04034503473754659,0.04034503473754659,0.038556338497441785,1,0.0,478.0,24.162693947016823,1.9119559731946765e-06,-0.041643053142288756,-0.011658070169536084,1.8175217244233885e-05
164,DHR,20150513,2,314.0,0.0,0.0,0.23,0.15000000000000002,-0.2867974719405286,-0.08399434817012548,0.018109288457206017,0.018109288457206017,0.009893113642706067,2,0.0,314.0,24.87709460625331,5.664856603620692e-07,0.045318173296047544,0.0024573401374876833,2.982262549599044e-05
165,DIS,20150505,1,497.0,0.0,0.0,0.26,0.14,-0.28307821140121403,-0.0748942903645324,-0.004141744935009817,0.004141744935009817,-0.00846038576922772,1,0.0,497.0,25.98341134535239,4.4525075152289495e-07,0.013192018966659252,-0.005393169777473008,9.117243529128954e-06
166,DIS,20150723,1,186.0,0.0,0.0,0.11,0.05,-0.4223899975913112,-0.2003947098882584,-0.0005454038772403618,0.0005454038772403618,-0.011395312205948391,1,-0.01818181818181818,186.0,26.03362830561317,4.3160483995631677e-07,-0.0014283149146317106,-0.005198609750208398,4.626281044194312e-06
167,DISH,20150603,1,481.0,1.0,0.0,0.94,0.01999999999999991,0.3973122855336091,-0.19632958882774007,-0.011061664033825476,0.011061664033825476,-0.017758486639768128,1,0.0,481.0,23.494834749356873,1.4342872671685524e-06,0.041965798922854895,0.0017470875497280214,6.502125750033959e-05
168,DISH,20150716,1,100.0,1.0,1.0,0.88,0.71,0.35324987319946066,0.44529834283531067,-0.033349885849766114,0.033349885849766114,-0.04042011717453339,1,-0.01818181818181818,100.0,23.47001505167883,1.4599081013895554e-06,0.012741242540201696,-0.00023883835718239502,8.589172196487336e-05
169,DLR,20150714,1,298.0,0.0,0.0,0.01,0.0,-0.5272471481183978,-0.2353342022415679,-0.00455916374028868,0.00455916374028868,0.0015338541240582336,1,0.0,298.0,22.950596175868252,1.0335239780410539e-06,-0.005798392705944323,-0.007586450038662934,0.00013223342475454208
170,DLTR,20150706,1,337.0,0.0,0.0,0.31,0.27,-0.22859598517095095,0.0391912137939536,0.003764473059980517,0.003764473059980517,-0.002555517607316329,1,0.0,337.0,23.64821050444042,5.833245452537796e-07,0.00837756890662383,-0.008085318431037219,7.577374507138155e-05
