date,mcap,WeightedReturn,WeightedTurnover,ValueWeightedReturn,ValueWeightedTurnover
20140909,12534489627.580116,-80314629.06360407,83933321.48663527,-0.006407490966914578,0.006696189791561483
20140910,12475857876.965357,61634063.87037858,72367806.52437288,0.0049402665915404395,0.005800627679318812
20140911,12480376424.391884,5365885.41118988,65831681.054738276,0.00042994579880641196,0.005274815343395861
20140912,12522849142.727552,-59766953.97092815,74466074.68948717,-0.004772632273194544,0.005946416333916485
20140915,12473162836.29182,-22211720.899714716,75665342.79023637,-0.0017807609177591798,0.006066251501991224
20140916,12417910462.349434,99659326.7936337,72928760.18847811,0.008025450585732315,0.0058728689025093995
20140917,12569779863.09802,22935076.387329366,75727466.02751392,0.0018246203702151913,0.006024565811994236
20140918,12607416071.69374,68808854.86994673,71183221.6625995,0.005457807886933855,0.005646138848579811
20140919,12701908542.133211,7008963.4818640165,136112261.74820766,0.0005518039638385636,0.010715890552723852
20140922,12655745160.03846,-102021094.37403733,82420215.7876988,-0.008061247527026475,0.006512474354172942
20140923,12534556306.720045,-66897770.04773133,78482470.83273244,-0.005337067257168569,0.006261288306683524
20140924,12521688842.337187,105958031.30677229,77495120.89672095,0.008461960095072536,0.006188871315401285
20140925,12585762615.016083,-216217487.32599303,81716099.16276257,-0.017179530072180434,0.006492741176070414
20140926,12410194474.310589,110376348.83858769,68662807.62599,0.008894006380566354,0.005532774507935692
20140929,12383117653.103941,-38550546.79133851,67329792.30294903,-0.0031131535588435166,0.0054372246302668535
20140930,12467946352.632921,-19418004.808907278,85059491.48807538,-0.0015574341001881738,0.006822253567855056
20141001,12412162932.856695,-168098649.6606436,93671334.02765416,-0.013543058576492214,0.0075467373844806136
20141002,12255560970.622976,-211424.1488460519,84257411.46437469,-1.7251282854603165e-05,0.006875035069087638
20141003,12339655549.080185,149161659.53934827,75773433.65284233,0.012087992160402483,0.00614064414938151
20141006,12468811961.22411,-18647799.883037496,65672241.52537001,-0.0014955554659921884,0.005266920515731534
20141007,12349667595.475632,-184774773.2232837,76202222.65753064,-0.014961922804381954,0.006170386536188855
20141008,12227225141.210344,209501298.39951393,90300259.41720271,0.01713400186714611,0.007385180069422039
20141009,12410631608.089205,-238832329.2542894,95982428.29467437,-0.01924417199674345,0.007733887470490492
20141010,12166688683.691294,-150161204.82384518,112783814.7257814,-0.012341994500535478,0.009269885805244711
20141013,12034686855.228281,-204720013.96113884,99435068.6629789,-0.0170108301465444,0.008262372744645275
20141014,11913588489.465366,4282656.032184168,106090283.1532272,0.0003594765788638009,0.008904981336818702
20141015,11680814533.844276,-108720536.82361998,148877813.16512612,-0.009307616049258418,0.012745499274366861
20141016,11541352807.30209,-23547560.42588527,118342369.41892022,-0.002040277324421361,0.010253769327980883
20141017,11837399923.186344,157076575.8617096,110102598.85044788,0.013269516691248897,0.009301248548237854
20141020,11832857769.687891,111859322.81264319,80628897.86814849,0.009453280432322278,0.0068139835226190834
20141021,12074788320.821615,235136054.70797965,98573898.1935022,0.019473306567413192,0.0081636129408184
20141022,12225871512.64817,-81919090.6548956,93798400.71556029,-0.006700470438458879,0.007672123874238492
20141023,12248044280.534376,146776587.80840936,91746898.9191085,0.011983675470677312,0.007490738669594818
20141024,12290283856.539444,86133797.69393654,79006315.74376813,0.007008283836187092,0.00642835565605999
20141027,12317900963.846945,-12276056.811072549,74092569.67637327,-0.0009966029802563595,0.00601503209790654
20141028,12384679072.518879,139693206.2015191,88684056.71469018,0.011279517651086566,0.007160787630862123
20141029,12481674623.806702,-17627889.346687388,88983565.26501167,-0.0014123016244202637,0.00712913675023145
20141030,12430770994.034529,78386463.64318086,82084434.80624206,0.006305840859010127,0.006603326120771915
20141031,12664771647.316383,149424091.41170967,100188304.20733155,0.011798403917008015,0.007910786471113443
20141103,12663214657.61979,4190181.849948866,80404214.19750817,0.00033089400782032255,0.006349431512568323
20141104,12638153273.619389,-17163528.99895465,86173722.75187272,-0.0013580725464678004,0.006818537557362112
20141105,12732275318.29888,36876326.37312102,85671651.95732252,0.0028962872268495647,0.006728699294948081
20141106,12684293711.612394,47608507.81586507,85961049.33180667,0.0037533432210166947,0.006776967743431379
20141107,12736056206.171152,2596594.815097487,82477663.45915043,0.00020387746199167434,0.006475918614365611
20141110,12736637060.544657,45311464.32501816,79845509.23759769,0.003557568933591055,0.006268963216745948
20141111,12784091842.204634,10979239.607976673,69458075.96335293,0.0008588204577606734,0.005433164656565452
