ticker,date,count,length,PctOld,PctRecombination,ExtentOld,ExtentRecombination,AbnPctOld,AbnPctRecombination
BA,20150713,1,431.0,1.0,1.0,0.76,0.35000000000000003,0.21860467042730392,0.1289835461557826
BA,20150721,2,196.5,0.5,0.5,0.5900000000000001,0.5100000000000001,0.07808871715377308,0.2606192241082493
BA,20150722,1,457.0,0.0,0.0,0.42,0.06,-0.12208169725992907,-0.15853964029751969
BA,20150729,2,104.0,0.5,0.5,0.725,0.475,0.21893796817774702,0.2104623595942977
BABA,20150311,1,423.0,0.0,0.0,0.1,0.03,-0.44117740186771115,-0.19179688467215908
BAC,20150224,1,271.0,1.0,1.0,0.63,0.52,0.09377138119385797,0.2813398773250485
BAC,20150305,2,259.0,1.0,1.0,0.9,0.545,0.38526914076752006,0.30425121761005874
BAC,20150311,5,268.2,0.4,0.2,0.5660000000000001,0.16600000000000004,0.07868645104559124,-0.07430215736829038
BAC,20150415,1,86.0,0.0,0.0,0.04,0.02,-0.48550907257159076,-0.24723070970973351
BAC,20150508,1,452.0,1.0,0.0,0.63,0.09999999999999998,0.08804779479774527,-0.11900908324421441
BAC,20150520,2,391.0,0.5,0.0,0.565,0.0,0.04574818223876831,-0.22556555516291046
BAC,20150715,3,214.33333333333334,0.0,0.0,0.19000000000000003,0.12000000000000004,-0.31048447561321335,-0.12712381136159312
BAC,20150722,1,52.0,0.0,0.0,0.18,0.10999999999999999,-0.3417358508549995,-0.1629860588342154
BBT,20150305,2,341.0,1.0,0.5,0.8200000000000001,0.2250000000000001,0.30229196607753084,-0.005916047901494942
BBT,20150311,4,233.5,0.5,0.5,0.6124999999999999,0.3949999999999999,0.11986639303706426,0.15031150325164216
BBY,20150521,1,227.0,0.0,0.0,0.48,0.47,-0.05438234720736501,0.22552849182087306
BGC,20150317,1,488.0,0.0,0.0,0.27,0.05000000000000002,-0.27285983705132766,-0.16569801052742683
BGCP,20150317,1,265.0,0.0,0.0,0.02,0.0,-0.5159914422415209,-0.23942275145929776
BHI,20150722,1,297.0,0.0,0.0,0.6,0.31999999999999995,0.06278924285641185,0.08454557727645876
BIIB,20150724,1,185.0,0.0,0.0,0.41,0.33999999999999997,-0.12233730953844507,0.089453983726545
BLDR,20150413,1,368.0,0.0,0.0,0.48,0.04999999999999999,-0.05958177880269433,-0.17741951394328603
BLK,20150416,1,44.0,0.0,0.0,0.34,0.18000000000000002,-0.18060771105413204,-0.09398483457673215
BLK,20150715,1,14.0,1.0,1.0,0.94,0.18999999999999995,0.42545116804452054,-0.0785868009296653
BMY,20150723,1,238.0,0.0,0.0,0.56,0.24000000000000005,0.025131372185587808,-0.0029693940805518015
BX,20150410,3,228.33333333333334,0.3333333333333333,0.3333333333333333,0.57,0.43666666666666665,0.06887227320031597,0.19150040113960576
BX,20150507,1,45.0,0.0,0.0,0.09,-0.010000000000000009,-0.43075585292418284,-0.28387695130717633
BX,20150529,2,389.5,0.5,0.5,0.52,0.435,0.0007921198221532144,0.20927997348060143
BX,20150602,1,164.0,1.0,0.0,0.83,0.1499999999999999,0.29882340617152126,-0.10380423059916655
